search_name,uuid,occurrenceid,catalognumber,family,genus,scientificname,country,stateprovince,geopoint.lon,geopoint.lat,datecollected,collector,recordset,year
Aparatrigona impunctata,601c7deb-14ba-4084-868b-f7985f394458,2519c989-1ed6-11e3-bfac-90b11c41863e,556429,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,603226d1-1a58-4444-9cdd-e98f5449dde1,75069f90-e3de-4ba2-a321-e0fc1507c678,1370445,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,60c0aec5-b317-4a50-9bd8-8a240a48ccc4,fab0bf0d-3370-4520-8589-af0ddf691f90,1370419,apidae,paratrigona,aparatrigona impunctata,french guiana,NA,-52.71416,5.2139,NA,"michener, charles",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,62c1b1db-5b11-46d4-bd5f-58a090ee2d5b,cbdbbc40-138b-45ab-b358-52fa963983bd,1370431,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,65aea387-657f-4856-be46-ea3ae8e3b8bd,468af04f-e7ae-438a-9627-4abaa32000ce,1370478,apidae,paratrigona,aparatrigona impunctata,brazil,para,NA,NA,NA,"alvarenga, moacir",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,666a63d4-a840-4ad5-9aa3-20d44ca3e95e,c06ff924-83ed-4e2d-b811-31aaf227dd06,1370430,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,66bb624c-ff79-48a4-b37b-18872f549214,1c3bbb70-1ed6-11e3-bfac-90b11c41863e,556458,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,6a46915f-2515-4e5f-bfbf-9d6cee54f605,b8976215-e669-46fa-9f9d-4f1dcf90ea19,inpa-hym 006029,apidae,paratrigona,aparatrigona impunctata,brasil,roraima,NA,NA,NA,"rafael, josé; aquino, luís; bindá, josé",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
Aparatrigona impunctata,6b1d70cc-3c99-4d7e-95ec-2db30114e2bf,e7b87d20-6545-4558-9e34-e41e6b37602f,1370443,apidae,paratrigona,aparatrigona impunctata,ecuador,sucumbios,-76.4597222,-0.4705556,NA,"hibbs, p",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,6e4d5041-4754-477f-ae5b-7cd1d83debf6,1ce38215-1ed6-11e3-bfac-90b11c41863e,556434,apidae,paratrigona,aparatrigona impunctata,guyana,region 10,-58.215,6.4933333,NA,"brooks, r & falin, z",568e209f-d072-4fd6-8b64-27954b0fd731,NA
Aparatrigona impunctata,70a19819-21c2-4575-81ad-2514d6431c26,e6a4697b-5983-4df8-9ee6-0369f30dd3b9,inpa-hym 006031,apidae,paratrigona,aparatrigona impunctata,brasil,roraima,NA,NA,NA,"rafael, josé; et al.",00038086-3303-4b89-b2d6-1b84e7598f0e,NA
