database_id,searchName,scientificName,decimalLatitude,decimalLongitude,occurrenceID,basisOfRecord,verbatimEventDate,year,country,stateProvince,locality,identifiedBy,coordinateUncertaintyInMeters,recordedBy
GBIF_76,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733467,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_77,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733496,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_78,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733492,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_79,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733504,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_80,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733483,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_81,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733458,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_82,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733511,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_83,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733502,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_84,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733479,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
GBIF_85,1,"Aparatrigona impunctata (Ducke, 1916)",5.2139,-52.71416,1092733494,PRESERVED_SPECIMEN,1977-03-02T00:00:00Z,1977,French Guiana,NA,"Kourou, 10 km NW",Camargo,NA,"Michener, Charles"
